cjv,cnr,efc,fber,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,inu_med,inu_range,qi1,qi2,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr_csf,snr_gm,snr_total,snr_wm,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_csf,summary_mean_gm,summary_mean_wm,summary_p05_bg,summary_p05_csf,summary_p05_gm,summary_p05_wm,summary_p95_bg,summary_p95_csf,summary_p95_gm,summary_p95_wm,summary_stdv_bg,summary_stdv_csf,summary_stdv_gm,summary_stdv_wm,wm2max
0.544640303,1.433258772,0.533017877,312.4698181,4.69318,4.3119,4.95596,4.83732,0.202715324,0.417046189,0.380238487,1.063804507,0.515714073,0.004039674,0.08284148,54703.83594,97354.25,44618.875,160,192,192,2.109006689,6.833086345,7.426380492,13.33704844,1,1.333333254,1.333333254,45.37805939,15.91475487,26.69329071,52.72187424,17,6,5.499999523,15.8400135,75,26,48,78,18.43682671,11.30988121,13.32148075,20.53116608,0.613207547
0.520757854,1.365294695,0.469442154,455.9723206,4.47883,3.92999,4.83537,4.72794,0.189376113,0.434556861,0.376067026,1.054480195,0.387387061,0.002281616,0.103483141,41490.85938,76917.625,33912.75781,160,192,192,2.243763432,7.034391751,8.103476083,15.03227307,1,1.333333254,1.333333254,45.30888367,16.60639763,27.22371864,51.33905029,20,6.480000973,6.159999371,16.10000839,71,27,47,73,16.5872879,11.10445786,13.00043392,19.29624939,0.598130841
0.566075802,1.081764102,0.551494314,189.9379425,4.44582,4.00216,4.71632,4.65543,0.186210912,0.441928131,0.371860957,1.268111587,0.58332386,0.007198315,0.042720952,49610.09375,79173.25,47470.85156,160,192,192,2.192270538,8.379076906,7.579262568,12.16644026,1,1.333333254,1.333333254,48.08650589,18.19533157,29.94221497,52.68825531,21,6.290000439,6.720009327,15.00001812,76,30,52,80,17.81222153,13.75580025,14.11748981,21.51113129,0.589285714
0.510834873,1.15858376,0.549822568,311.4875793,4.1139,3.64717,4.37933,4.3591,0.184840993,0.468063404,0.347095603,1.281398177,0.593520176,0.009603551,0.072504781,61209.82422,89309.83594,40766.07031,160,192,192,1.680353194,6.940678775,7.421801075,13.64437126,1,1.333333254,1.333333254,41.98750305,14.78214455,25.70647049,48.76091003,16,5,4.200009346,13.94001389,69,25,45,72,17.24047852,14.12693214,12.71701908,19.4489994,0.491935484
0.502328515,1.462283373,0.494155452,467.4484863,4.3493,3.97723,4.54172,4.55467,0.210685171,0.422141181,0.367173648,1.04243052,0.4073017,0.001595034,0.126147003,46422.69531,84821.63281,32238.95117,160,192,192,2.276569649,6.824574212,8.75423283,17.16155463,1,1.333333254,1.333333254,47.2525444,17.47652054,28.16708946,54.94036865,20,7.000001907,5.679999828,17.64001465,75,28,50,78,17.79793358,11.54254818,14.10103989,19.72071838,0.644230769
0.493694752,1.191642642,0.55611225,363.4416199,4.46163,4.03945,4.72513,4.65312,0.189888413,0.446176345,0.363935242,1.142604828,0.449868068,0.00143761,0.080227228,56678.54297,100851.2031,39919.62109,160,192,192,2.105462418,6.996628969,8.562027827,16.58399209,1,1.333333254,1.333333254,46.72524261,17.05367661,28.47603226,53.77721787,20,6.480000973,5.699999809,16.92001534,74,28,49,77,17.4944458,13.06090546,13.80298328,19.70848084,0.573913043
0.505619407,1.332918286,0.49963691,426.5283813,4.07487,3.67361,4.30145,4.28187,0.209245201,0.429011601,0.361743197,1.144785404,0.408717188,0.006565574,0.053058195,51664.28516,86380.40625,33590.14063,160,192,192,1.936142565,6.736047301,8.547734404,16.97101335,1,1.333333254,1.333333254,49.99868774,18.31881142,30.20352364,58.06621552,20,7.350000381,5.720011711,18.8700161,79,30,54,83,19.24084091,14.26740265,15.21604347,20.93707657,0.612068966
0.490931183,1.371682644,0.510031882,467.2614136,4.37741,3.96808,4.56423,4.63131,0.172814676,0.457950113,0.369235211,0.990702689,0.419168556,0.000784953,0.127385807,57840.43359,92148.53125,39088.46094,160,192,192,1.915373003,6.993935124,8.748233157,17.33539134,1,1.333333254,1.333333254,44.08474731,16.47076035,26.58138847,50.07131577,20,6.119999409,5.060010433,15.58001232,70,26.9099865,46,72,16.46704483,14.36285782,12.94157314,18.67083168,0.563636364
0.498223126,1.237099767,0.564277024,347.6394653,4.69108,4.2532,4.96795,4.88568,0.211027423,0.429618671,0.359353906,1.135699511,0.539020848,0.002241632,0.085090318,64772.28906,111986.8516,42396.69531,160,192,192,2.327427259,7.18029654,8.424572486,15.76599366,1,1.333333254,1.333333254,46.32246399,16.88401222,28.00190735,54.12762451,19,6.720001221,5.520010471,16.8000145,75,27,51,78,18.16213226,12.03957081,14.18385887,20.114748,0.515625
0.488832384,1.418374896,0.499680756,437.2984924,4.55611,4.20175,4.74029,4.74841,0.201232738,0.443540023,0.355227238,1.033413529,0.446771145,0.004042671,0.081459329,49252.76563,91579.57031,33753.54688,160,192,192,2.412521051,6.976705465,8.786768404,16.9710787,1,1.333333254,1.333333254,55.72088242,20.24145508,33.50215912,64.71305847,24,8.050002098,6.639999866,20.35001755,89,32.79998016,59,93,20.98542786,13.27500725,16.51347351,24.08279991,0.620155039
0.495039731,1.548957467,0.519537901,409.969574,4.83673,4.38932,5.09884,5.05575,0.222823453,0.419826667,0.35734988,0.932137609,0.393960446,0.002024078,0.0772285,58468.78906,114266.0078,36096.95313,160,192,192,2.460912634,6.375317756,8.400157586,16.36424237,1,1.333333254,1.333333254,48.59869385,17.40234375,28.60475349,58.21934128,20,7.030001163,5.670012474,18.90002251,80,27.59998322,52,83,19.37770653,10.74658298,14.52078152,21.1712265,0.657407407
0.523160756,1.10095489,0.534371915,335.485199,4.28939,3.91534,4.45629,4.52317,0.210902942,0.401748664,0.387348394,1.121984243,0.473692656,0.001905827,0.074162736,49749.85938,84496.42188,34646.35938,160,192,192,2.649650473,7.642845994,9.144841548,17.14202818,1,1.333333254,1.333333254,46.1427269,17.65326118,27.32578659,52.13232803,20,7.260001659,5.320013046,17.02001381,71,29,50,74,16.43153954,10.99128723,14.14232349,18.4484024,0.529411765
0.512243688,1.246711373,0.529642815,432.9467468,4.25624,3.80504,4.41868,4.58591,0.199496289,0.422810706,0.377693006,1.060754776,0.398391858,0.001727993,0.144438757,55877.33203,97020.24219,40622.04688,160,192,192,2.181258193,7.306035725,9.095492553,17.79918374,1,1.333333254,1.333333254,49.48045349,18.76407242,29.91937828,56.23408508,22,7.200001478,6.160012245,18.48001862,77,30,53,80,17.99084282,13.60438347,14.76868343,20.03489494,0.591304348
0.521190107,1.237731576,0.563402875,315.6542664,4.30408,3.85299,4.60949,4.48941,0.187360546,0.436799032,0.375840422,1.125530005,0.534816453,0.001302414,1,59218.21094,95920.82031,42046.47656,160,192,192,2.040758159,7.340566391,8.343501981,15.64918139,1,1.333333254,1.333333254,44.58920288,15.43630791,26.96581459,51.12354279,17,5.440000534,4.620009422,15.6400156,71,26,48,74,17.19944954,11.91749573,13.52920437,19.03945541,0.588785047
0.498360455,1.387963414,0.519480746,499.1282654,4.3172,3.85612,4.60601,4.53034,0.197522891,0.429657011,0.372820098,1.056404471,0.405397797,0.002491729,0.074690153,54891.36719,102296.4219,38793.99219,160,192,192,2.150752018,6.723787566,8.841734208,17.65066304,1,1.333333254,1.333333254,51.94560242,18.5769825,30.87846756,59.89896011,22,7.700001717,6.00001049,19.4400177,82,30,55,85,19.54787636,13.1217556,15.52717495,21.61254692,0.57480315
0.489213705,1.450788856,0.519917975,418.0355225,4.53886,4.10191,4.7054,4.84459,0.192932543,0.455694712,0.351372745,1.060724139,0.442650187,0.003291418,0.078055227,56359.60938,96865.42969,36423.17578,160,192,192,2.08725382,6.730293773,8.24115629,15.90592128,1,1.333333254,1.333333254,51.38447189,18.63268662,31.04613113,59.89450455,22,6.930001259,5.93999958,18.30002213,83,30,55,87,19.94943619,14.29194164,15.25545979,22.77163506,0.614754098
0.489213705,1.450788856,0.519917975,415.3712769,4.53886,4.10191,4.7054,4.84459,0.192932543,0.455694712,0.351372745,1.060724139,0.442650187,0.003275823,0.062537083,56359.60938,96865.42969,36423.17578,160,192,192,2.08725382,6.730293773,8.24115629,15.90592128,1,1.333333254,1.333333254,51.38447189,18.63268662,31.04613113,59.89450455,22,6.930001259,5.93999958,18.30002213,83,30,55,87,19.94943619,14.29194164,15.25545979,22.77163506,0.614754098
